id,משרד,שנת תקציב,קוד תקציבי,כותרת,תקציב מקורי,תקציב מעודכן,ביצוע,אומדן ביצוע,שיעור ביצוע,סטטוס נתון,מקור
budget-sec-54-2024-00543302,sec-54,2024,00543302,פעולות,217735000,271740000,245394605,,90.3,partial,https://next.obudget.org/i/budget/00543302/2024
budget-sec-54-2024-00543303,sec-54,2024,00543303,רזרבה,12651000,0,0,,,partial,https://next.obudget.org/i/budget/00543303/2024
budget-sec-54-2024-005434,sec-54,2024,005434,היחידה הארצית לפיקוח,68968000,78734000,63140893,,80.2,partial,https://next.obudget.org/i/budget/005434/2024
budget-sec-54-2024-00543401,sec-54,2024,00543401,שכר וכח אדם,37589000,37589000,31964152,,85,partial,https://next.obudget.org/i/budget/00543401/2024
budget-sec-54-2024-00543402,sec-54,2024,00543402,תפעול ופעולות,28879000,41145000,31176741,,75.8,partial,https://next.obudget.org/i/budget/00543402/2024
budget-sec-54-2024-00543403,sec-54,2024,00543403,רזרבות,2500000,0,0,,,partial,https://next.obudget.org/i/budget/00543403/2024
budget-sec-54-2024-005435,sec-54,2024,005435,הרשות להתחדשות עירונית,122919000,144765000,133203501,,92,partial,https://next.obudget.org/i/budget/005435/2024
budget-sec-54-2024-00543501,sec-54,2024,00543501,הרשות להתחדשות עירונית,122919000,144765000,133203501,,92,partial,https://next.obudget.org/i/budget/00543501/2024
budget-sec-54-2024-005436,sec-54,2024,005436,רשות שוק ההון,97373000,126035000,78732837,,62.5,partial,https://next.obudget.org/i/budget/005436/2024
budget-sec-54-2024-00543601,sec-54,2024,00543601,רשות שוק ההון,97373000,126035000,78732837,,62.5,partial,https://next.obudget.org/i/budget/00543601/2024
budget-sec-54-2024-005440,sec-54,2024,005440,השקעה בתשתיות מיעוטים,908237000,177987000,80824828,,45.4,partial,https://next.obudget.org/i/budget/005440/2024
budget-sec-54-2024-00544001,sec-54,2024,00544001,הרשות לפיתוח והתיישבות,66392000,85202000,71590698,,84,partial,https://next.obudget.org/i/budget/00544001/2024
budget-sec-54-2024-00544002,sec-54,2024,00544002,היחידה לשילוב,12329000,36927000,9234130,,25,partial,https://next.obudget.org/i/budget/00544002/2024
budget-sec-54-2024-00544003,sec-54,2024,00544003,יישום החלטות ממשלה,829516000,55858000,0,,0,partial,https://next.obudget.org/i/budget/00544003/2024
budget-sec-54-2024-005450,sec-54,2024,005450,מנהלת תקומה לשיקום חבל,2119200000,720997000,447972612,,62.1,partial,https://next.obudget.org/i/budget/005450/2024
budget-sec-54-2024-00545001,sec-54,2024,00545001,מנהלת תקומה,2119200000,720997000,447972612,,62.1,partial,https://next.obudget.org/i/budget/00545001/2024
budget-sec-54-2024-005499,sec-54,2024,005499,חשבון מעבר,0,0,0,,,partial,https://next.obudget.org/i/budget/005499/2024
budget-sec-54-2024-00549999,sec-54,2024,00549999,חשבון מעבר,0,0,0,,,partial,https://next.obudget.org/i/budget/00549999/2024
budget-sec-54-2025-0054,sec-54,2025,0054,רשויות פיקוח,8719644000,4798410000,4040730334,,84.2,partial,https://next.obudget.org/i/budget/0054/2025
budget-sec-54-2025-005410,sec-54,2025,005410,רשות התחרות,70429000,72584000,63533002,,87.5,partial,https://next.obudget.org/i/budget/005410/2025
budget-sec-54-2025-00541001,sec-54,2025,00541001,שכר,44415000,44601000,41828247,,93.8,partial,https://next.obudget.org/i/budget/00541001/2025
budget-sec-54-2025-00541002,sec-54,2025,00541002,תפעול,23160000,27983000,21704755,,77.6,partial,https://next.obudget.org/i/budget/00541002/2025
budget-sec-54-2025-00541080,sec-54,2025,00541080,רזרבה,2854000,0,0,,,partial,https://next.obudget.org/i/budget/00541080/2025
budget-sec-54-2025-005411,sec-54,2025,005411,הרשות להגנת הצרכן,31496000,34471000,31199263,,90.5,partial,https://next.obudget.org/i/budget/005411/2025
budget-sec-54-2025-00541101,sec-54,2025,00541101,שכר,19768000,20497000,20270264,,98.9,partial,https://next.obudget.org/i/budget/00541101/2025
budget-sec-54-2025-00541102,sec-54,2025,00541102,תפעול,10380000,13974000,10928999,,78.2,partial,https://next.obudget.org/i/budget/00541102/2025
budget-sec-54-2025-00541180,sec-54,2025,00541180,רזרבה,1348000,0,0,,,partial,https://next.obudget.org/i/budget/00541180/2025
budget-sec-54-2025-005412,sec-54,2025,005412,המועצה הישראלית,5612000,6328000,6127000,,96.8,partial,https://next.obudget.org/i/budget/005412/2025
budget-sec-54-2025-00541201,sec-54,2025,00541201,פעילות המועצה הישראלית,5387000,6328000,6127000,,96.8,partial,https://next.obudget.org/i/budget/00541201/2025
budget-sec-54-2025-00541280,sec-54,2025,00541280,רזרבה,225000,0,0,,,partial,https://next.obudget.org/i/budget/00541280/2025
budget-sec-54-2025-005413,sec-54,2025,005413,רשות הטבע והגנים,240850000,486946000,477300564,,98,partial,https://next.obudget.org/i/budget/005413/2025
budget-sec-54-2025-00541301,sec-54,2025,00541301,רשות הטבע והגנים,240850000,486946000,477300564,,98,partial,https://next.obudget.org/i/budget/00541301/2025
budget-sec-54-2025-005430,sec-54,2025,005430,רשות החשמל,61113000,62130000,47329717,,76.2,partial,https://next.obudget.org/i/budget/005430/2025
budget-sec-54-2025-00543001,sec-54,2025,00543001,שכר ופעולות,61113000,62130000,47329717,,76.2,partial,https://next.obudget.org/i/budget/00543001/2025
budget-sec-54-2025-005431,sec-54,2025,005431,רשות הגז הטבעי,44382000,72788000,27982594,,38.4,partial,https://next.obudget.org/i/budget/005431/2025
budget-sec-54-2025-00543101,sec-54,2025,00543101,שכר,14073000,14073000,11531581,,81.9,partial,https://next.obudget.org/i/budget/00543101/2025
budget-sec-54-2025-00543102,sec-54,2025,00543102,הוצאות תפעול ופעילות,30309000,58715000,16451013,,28,partial,https://next.obudget.org/i/budget/00543102/2025
budget-sec-54-2025-005433,sec-54,2025,005433,יחידת סמך מינהל התכנון,352940000,523533000,466469294,,89.1,partial,https://next.obudget.org/i/budget/005433/2025
budget-sec-54-2025-00543301,sec-54,2025,00543301,שכר וכוח אדם,103838000,103584000,95523482,,92.2,partial,https://next.obudget.org/i/budget/00543301/2025
budget-sec-54-2025-00543302,sec-54,2025,00543302,פעולות,235570000,411329000,370945812,,90.2,partial,https://next.obudget.org/i/budget/00543302/2025
budget-sec-54-2025-00543303,sec-54,2025,00543303,רזרבה,13532000,8620000,0,,0,partial,https://next.obudget.org/i/budget/00543303/2025
budget-sec-54-2025-005434,sec-54,2025,005434,היחידה הארצית לפיקוח,76268000,84613000,71986673,,85.1,partial,https://next.obudget.org/i/budget/005434/2025
budget-sec-54-2025-00543401,sec-54,2025,00543401,שכר וכח אדם,44978000,37385000,35491499,,94.9,partial,https://next.obudget.org/i/budget/00543401/2025
budget-sec-54-2025-00543402,sec-54,2025,00543402,תפעול ופעולות,27358000,47228000,36495174,,77.3,partial,https://next.obudget.org/i/budget/00543402/2025
budget-sec-54-2025-00543403,sec-54,2025,00543403,רזרבות,3932000,0,0,,,partial,https://next.obudget.org/i/budget/00543403/2025
budget-sec-54-2025-005435,sec-54,2025,005435,הרשות להתחדשות עירונית,424842000,203062000,166079768,,81.8,partial,https://next.obudget.org/i/budget/005435/2025
