משרד,שנה,סיווג ראשי,סיווג משני,תקציב מקורי,תקציב מעודכן,ביצוע/אומדן,מספר תקנות,מקור
health,2026,העברות,סובסידיה,323597000,323597000,,1,https://next.obudget.org/i/budget/0024/2026
health,2026,העברות,רזרבה,2114353000,2114353000,,1,https://next.obudget.org/i/budget/0024/2026
health,2026,העברות,תמיכות לפי סעיף 3א,13728000,13728000,,1,https://next.obudget.org/i/budget/0024/2026
health,2026,העברות פנים תקציביות,הפחתות,0,0,,6,https://next.obudget.org/i/budget/0024/2026
health,2026,העברות פנים תקציביות,השתתפויות,119033000,119033000,,11,https://next.obudget.org/i/budget/0024/2026
health,2026,חשבונות מעבר,חשבונות מעבר,0,0,,1,https://next.obudget.org/i/budget/0024/2026
health,2026,קניות,קניות בארץ,8010796000,8010796000,,84,https://next.obudget.org/i/budget/0024/2026
health,2026,קניות,"קניות בחו""ל",970000,970000,,1,https://next.obudget.org/i/budget/0024/2026
health,2026,קניות,רזרבה,523107000,523107000,,6,https://next.obudget.org/i/budget/0024/2026
health,2026,שכר,רזרבה,74056000,74056000,,1,https://next.obudget.org/i/budget/0024/2026
health,2026,שכר,שכר בארץ,1777263000,1777263000,,110,https://next.obudget.org/i/budget/0024/2026
sec-1,2023,הכנסות מיועדות,הכנסות תקציב רגיל,0,0,-1847464,1,https://next.obudget.org/i/budget/0001/2023
sec-1,2023,העברות פנים תקציביות,השתתפויות,2044000,3225000,3003863,2,https://next.obudget.org/i/budget/0001/2023
sec-1,2023,חשבונות מעבר,חשבונות מעבר,0,0,0,1,https://next.obudget.org/i/budget/0001/2023
sec-1,2023,קניות,קניות בארץ,15494000,38582000,32893812,2,https://next.obudget.org/i/budget/0001/2023
sec-1,2023,קניות,"קניות בחו""ל",2825000,5098000,6227059,1,https://next.obudget.org/i/budget/0001/2023
sec-1,2023,קניות,רזרבה,1274000,0,0,2,https://next.obudget.org/i/budget/0001/2023
sec-1,2023,שכר,רזרבה,1689000,0,0,1,https://next.obudget.org/i/budget/0001/2023
sec-1,2023,שכר,שכר בארץ,40521000,42267000,42178912,7,https://next.obudget.org/i/budget/0001/2023
